query;title;url;abstract;authors;date;downloads;score;journal
"""Covid-19"" OR ""SARS-CoV-2""";Design of multi epitope-based peptide vaccine against E protein of human COVID-19: An immunoinformatics approach;https://www.biorxiv.org/content/10.1101/2020.02.04.934232v2;Background New endemic disease has been spread across Wuhan City, China on December 2019.  Within few weeks, the World Health Organization (WHO) announced a novel coronavirus designated as coronavirus disease 2019 (COVID-19).;Miyssa I. Abdelmageed ... Abdelrafie M. Makhawi;2020-02-11;2210;0.29;missing
"""Covid-19"" OR ""SARS-CoV-2""";The Essential Facts of Wuhan Novel Coronavirus Outbreak in China and Epitope-based Vaccine Designing against COVID-19;https://www.biorxiv.org/content/10.1101/2020.02.05.935072v2;Wuhan Novel Coronavirus disease (COVID-19) outbreak has become a global outbreak which has raised the concern of scientific community to design and discover a definitive cure against this deadly virus which has caused deaths of numerous infected people upon infection and spreading.  To date, no antiviral therapy or vaccine is available which can effectively combat the infection caused by this virus.;Bishajit Sarkar ... Yusha Araf;2020-02-11;1989;0.29;missing
"""Exosome""";Live tracking of inter-organ communication by endogenous exosomes in vivo;https://www.biorxiv.org/content/10.1101/380311v1;Extracellular vesicles (EVs) are released by most cell types but the definitive demonstration of their functional relevance remains challenging due to the lack of appropriate model organisms.  Here we developed an in vivo model to study EV physiology by expressing CD63-pHluorin in zebrafish embryos.;Frederik J Verweij ... Guillaume van Niel;2018-07-30;2255;1.0;missing
"""Exosome""";Membrane Proteins Significantly Restrict Exosome Mobility;https://www.biorxiv.org/content/10.1101/196691v1;Exosomes are membrane nanovesicles that intermediate cell-to-cell signaling through the transfer of their molecular cargo.  The exosomes' small size facilitates rapid migration through the extracellular matrix and into and out of circulation.;Mikhail Skliar ... Philip S Bernard;2017-09-30;2078;1.0;missing
"""Exosome""";Y-box protein 1 is required to sort microRNAs into exosomes in cells and in a cell-free reaction;https://www.biorxiv.org/content/10.1101/040238v1;Exosomes are small vesicles that are secreted from metazoan cells and may convey selected membrane proteins and small RNAs to target cells for the control of cell migration, development and metastasis.  To study the mechanisms of RNA packaging into exosomes, we devised a purification scheme based on the membrane marker CD63 to isolate a single exosome species secreted from HEK293T cells.;Matthew Shurtleff ... Randy Schekman;2016-02-19;1745;1.0;missing
"""Exosome""";Comparison of ultracentrifugation and a commercial kit for isolation of exosomes derived from glioblastoma and breast cancer cell lines;https://www.biorxiv.org/content/10.1101/274910v4;Exosomes are a potentially rich source of biomarkers, but their isolation and characterization can be challenging.  For isolation of exosomes, differential ultracentrifugation (a traditional approach) and an isolation kit from a major vendor (Total Exosome Isolation Reagent from Thermo Fisher Scientific) were compared.;Frøydis Sved Skottvoll ... Steven Ray Wilson;2018-03-02;1468;1.0;missing
"""Exosome""";A shared pathway of exosome biogenesis operates at plasma and endosome membranes;https://www.biorxiv.org/content/10.1101/545228v1;Eukaryotic cells secrete exosomes, which are small (~30-200 nm dia. ), single membrane-bound organelles that transmit signals and molecules to other cells.;Francis K. Fordjour ... Stephen J. Gould;2019-02-11;1232;1.0;missing
"""Exosome""";Exosomes purified from a single cell type have diverse morphology and composition;https://www.biorxiv.org/content/10.1101/094045v1;Extracellular vesicles (EVs) are produced by all known organisms and have important roles in cell communication and physiology.  Exosomes are known in the literature to be small round EVs (40 to 100 nm in diameter) and are commonly purified with a serial ultracentrifugation protocol followed by density gradient floatation.;Davide Zabeo ... Johanna L. Höög;2016-12-14;1136;1.0;missing
"""Exosome""";pHluo_M153R-CD63, a bright, versatile live cell reporter of exosome secretion and uptake, reveals pathfinding behavior of migrating cells;https://www.biorxiv.org/content/10.1101/577346v2;Small extracellular vesicles called exosomes affect a variety of autocrine and paracrine cellular phenotypes, including cellular migration, immune activation, and neuronal function.  Understanding the function of exosomes requires a variety of tools, including live cell imaging.;Bong Hwan Sung ... Alissa M. Weaver;2019-03-14;1091;1.0;missing
"""Exosome""";Peripheral blood exosomes pass blood-brain-barrier and induce glial cell activation;https://www.biorxiv.org/content/10.1101/471409v1;Background: Exosomes are involved in intracellular communication and contain proteins, mRNAs, miRNAs, and signaling molecules.  Exosomes were shown to act as neuroinflammatory mediators involved in neurodegenerative diseases including Alzheimer's disease (AD), Parkinson's disease (PD), amyotrophic lateral sclerosis (ALS).;Diana M. Morales-Prieto ... Manja Marz;2018-11-29;983;1.0;missing
"""Exosome""";Prodrug suicide gene therapy for cancer targeted intracellular by mesenchymal stem cell exosomes;https://www.biorxiv.org/content/10.1101/281808v1;Human tumor trophic mesenchymal stem cells (MSCs) isolated from various tissues and MSCs engineered to express the yeast cytosine deaminase::uracil phosphoribosyl transferase suicide fusion gene (yCD::UPRT-MSCs) released exosomes in conditional medium (CM).  Exosomes from all tissue specific yCD::UPRT-MSCs contained mRNA of the suicide gene in the exosome's cargo.;Ursula Altanerova ... Cestmir Altaner;2018-03-13;863;1.0;missing
"""Exosome""";Microfluidic On-demand Engineering of Exosomes towards Cancer Immunotherapy;https://www.biorxiv.org/content/10.1101/478875v1;Extracellular Vesicles (EVs), particularly exosomes (30-150 nm), are an emerging delivery system in mediating cellular communications, which have been observed for priming immune responses by presenting parent cell signaling proteins or tumor antigens to immune cells.  Therefore, preparation of antigenic exosomes that can play therapeutic roles, particularly in cancer immunotherapy, is emerging.;Zheng Zhao ... Mei He;2018-11-27;813;1.0;missing
"""Exosome""";Cancer exosomes induce tumor neo-neurogenesis potentiating tumor growth;https://www.biorxiv.org/content/10.1101/247452v1;Patients with densely innervated tumors do worse than those with less innervated cancers.  We hypothesize that neural elements are acquired by a tumor-induced process, called neo-neurogenesis.;Marianna Madeo ... Paola D. Vermeer;2018-01-12;691;1.0;missing
"""Exosome""";EXOSOME RELEASE PROMOTES INFLAMMATORY RESOLUTION IN ACTIVATED AND AGED MICROGLIA;https://www.biorxiv.org/content/10.1101/423558v1;Proper regulation of inflammatory responses is critical for effective function of microglia, in both physiological and disease states.  While the mechanisms that drive microglia activation are well characterized, the pathways leading to inflammatory resolution and immune homeostasis have yet to be fully elucidated.;Joe C Udeochu ... Saul A Villeda;2018-09-21;662;1.0;missing
"""Exosome""";Cancer cell exosomes can initiate malignant cell transformation;https://www.biorxiv.org/content/10.1101/360982v1;Cancer evolves through a multistep process that occurs by the temporal accumulation of genetic mutations mediated by intracellular and extracellular cues.  We observe that exosomes isolated from pancreatic cancer cells, but not normal pancreatic cells, can initiate the first step of malignant cell transformation.;Karoliina Stefanius ... Kim Orth;2018-07-03;661;1.0;missing
"""Exosome""";Long non-coding RNA repertoire and regulation by nuclear exosome, cytoplasmic exonuclease and RNAi in fission yeast;https://www.biorxiv.org/content/10.1101/158477v2;Transcriptomes feature pervasive, but poorly defined long non-coding RNAs (lncRNAs).  We identify 5775 novel lncRNAs in Schizosaccharomyces pombe, nearly 4-times the previously annotated lncRNAs.;Sophie R. Atkinson ... Jürg Bähler;2017-07-02;589;1.0;missing
"""Exosome""";Exosome labeling by lipophilic dye PKH26 results in significant increase in vesicle size;https://www.biorxiv.org/content/10.1101/532028v2;Extracellular vesicles (EVs) are membrane vesicles secreted by cells and distributed widely in all biofluids.  EVs can modulate the biological activities of cells in a paracrine or endocrine manner, in part by transferring their content, such as miRNA, following uptake in recipient cells.;Mehdi Dehghani ... Thomas R. Gaborski;2019-01-27;2113;0.71;missing
"""Exosome""";A Proteomic Atlas of Senescence-Associated Secretomes for Aging Biomarker Development;https://www.biorxiv.org/content/10.1101/604306v3;The senescence-associated secretory phenotype (SASP) has recently emerged as a driver of, and promising therapeutic target for, multiple age-related conditions, ranging from neurodegeneration to cancer.  The complexity of the SASP, typically assessed by a few dozen secreted proteins, has been greatly underestimated, and a small set of factors cannot explain the diverse phenotypes it produces in vivo.;Nathan Basisty ... Birgit Schilling;2019-04-10;2106;0.43;missing
"""Exosome""";Bayesian weighing of electron cryo-microscopy data for integrative structural modeling;https://www.biorxiv.org/content/10.1101/113951v4;Cryo-electron microscopy (cryo-EM) has become a mainstream technique for determining the structures of complex biological systems.  However, accurate integrative structural modeling has been hampered by the challenges in objectively weighing cryo-EM data against other sources of information due to the presence of random and systematic errors, as well as correlations, in the data.;Massimiliano Bonomi ... Riccardo Pellarin;2017-03-04;1833;0.43;missing
"""Exosome""";Nuclear stability and transcriptional directionality separate functionally distinct RNA species;https://www.biorxiv.org/content/10.1101/005447v2;Mammalian genomes are pervasively transcribed, yielding a complex transcriptome with high variability in composition and cellular abundance.  While recent efforts have identified thousands of new long non-coding (lnc) RNAs and demonstrated a complex transcriptional repertoire produced by protein-coding (pc) genes, limited progress has been made in distinguishing functional RNA from spurious transcription events.;Robin Andersson ... Albin Sandelin;2014-07-02;1195;0.43;missing
"""Exosome""";Long-read sequencing of nascent RNA reveals coupling among RNA processing events;https://www.biorxiv.org/content/10.1101/230334v2;Pre-mRNA splicing is accomplished by the spliceosome, a megadalton complex that assembles de novo on each intron.  Because spliceosome assembly and catalysis occur co-transcriptionally, we hypothesized that introns are removed in the order of their transcription in genomes dominated by constitutive splicing.;Lydia Herzel ... Karla M. Neugebauer;2017-12-18;1193;0.43;missing
"""Exosome""";The affinity of the S9.6 antibody for double-stranded RNAs impacts the mapping of R-loops in fission yeast.;https://www.biorxiv.org/content/10.1101/217083v1;R-loops, which result from the formation of stable DNA:RNA hybrids, can both threaten genome integrity and act as physiological regulators of gene expression and chromatin patterning.  To characterize R-loops in fission yeast, we used the S9.;Stella R. Hartono ... Vincent Vanoosthuyse;2017-11-09;966;0.43;missing
"""Exosome""";Transcript fusion between CDKN1A and RAB44 caused by exon skipping like mechanism due to disruption of a splice site;https://www.biorxiv.org/content/10.1101/111856v3;Splicing contributes to gene regulation and protein diversity, while abnormal splicing underlies both hereditary diseases and cancers.  Various mutations that disrupt splicing factors, exonic or intronic splicing enhancers or silencers, as well as splice sites, could be responsible for abnormal splicing.;Han Sun ... Lars M. Steinmetz;2017-03-02;749;0.43;missing
